epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
194,0.8756302,0.085380174,0.26273823,0.030436665,1950.0,-0.061309975,1.0,1950.0,0.7749999
195,0.87564045,0.08538038,0.26274186,0.030436128,1960.0,-0.049688354,1.0,1960.0,0.7749999
196,0.87558866,0.085383765,0.26272815,0.030435586,1970.0,-0.088574074,1.0,1970.0,0.7416666
197,0.8755875,0.085389644,0.26272753,0.03043667,1980.0,-0.06363081,1.0,1980.0,0.72499996
198,0.87555736,0.085384466,0.2627204,0.030435413,1990.0,-0.079784065,1.0,1990.0,0.80833334
199,0.8755512,0.085380144,0.26271832,0.030434445,2000.0,-0.06414857,1.0,2000.0,0.65833336
200,0.8755724,0.08537376,0.2627234,0.030433306,2010.0,-0.08083264,0.9916666,2010.0,0.7083333
201,0.8755923,0.08537956,0.26272827,0.030435273,2020.0,-0.06355724,1.0,2020.0,0.7583334
202,0.87557036,0.08537915,0.26272243,0.030435404,2030.0,-0.059546802,1.0,2030.0,0.68333334
203,0.87556,0.085394144,0.26271933,0.030439666,2040.0,-0.05850103,1.0,2040.0,0.76666665
204,0.8755903,0.08538884,0.2627275,0.030438194,2050.0,-0.053625267,1.0,2050.0,0.72499996
205,0.8755951,0.08539984,0.26272997,0.030442366,2060.0,-0.060846854,1.0,2060.0,0.72499996
206,0.87558866,0.08540902,0.26272798,0.030443916,2070.0,-0.054550707,1.0,2070.0,0.69166666
207,0.875568,0.08540094,0.2627228,0.030442169,2080.0,-0.050839912,1.0,2080.0,0.73333335
208,0.8755617,0.08540362,0.26272076,0.03044284,2090.0,-0.05533026,1.0,2090.0,0.6833334
209,0.8755644,0.08539442,0.26272064,0.03044101,2100.0,-0.085330985,1.0,2100.0,0.7333333
210,0.8755862,0.08540813,0.26272705,0.03044399,2110.0,-0.06291615,1.0,2110.0,0.72499996
211,0.8755999,0.08541795,0.26273105,0.030445993,2120.0,-0.06860372,1.0,2120.0,0.7083333
212,0.87561274,0.08541838,0.26273423,0.030446544,2130.0,-0.058082998,1.0,2130.0,0.68333334
213,0.87561345,0.08541859,0.2627341,0.030447269,2140.0,-0.05012731,1.0,2140.0,0.7083333
214,0.8756556,0.08543082,0.26274532,0.030449634,2150.0,-0.055191834,1.0,2150.0,0.7166667
215,0.87565947,0.08543723,0.26274619,0.030451706,2160.0,-0.059323054,1.0,2160.0,0.6833334
216,0.87565595,0.08542627,0.26274496,0.030448085,2170.0,-0.08547554,1.0,2170.0,0.7333333
217,0.8756266,0.085419625,0.26273698,0.030447042,2180.0,-0.05738996,1.0,2180.0,0.6666667
218,0.8756342,0.08540079,0.26273817,0.03044211,2190.0,-0.05507778,1.0,2190.0,0.7166667
219,0.87567514,0.085404314,0.26274872,0.030443946,2200.0,-0.09768158,0.9583333,2200.0,0.69166666
220,0.8756501,0.08541464,0.26274252,0.030446908,2210.0,-0.050049853,1.0,2210.0,0.7416666
221,0.87565356,0.085419364,0.2627432,0.030448725,2220.0,-0.0883266,0.97499996,2220.0,0.7583334
222,0.87564033,0.08543255,0.26273903,0.030451268,2230.0,-0.06472068,1.0,2230.0,0.7250001
223,0.87566394,0.085439,0.26274556,0.030452585,2240.0,-0.060434014,1.0,2240.0,0.74166673
224,0.87566113,0.08543623,0.26274425,0.030452231,2250.0,-0.06915445,1.0,2250.0,0.6916666
225,0.8756792,0.08543363,0.26274884,0.030451447,2260.0,-0.06256966,1.0,2260.0,0.8166666
226,0.875701,0.08544791,0.2627547,0.030453155,2270.0,-0.06532459,1.0,2270.0,0.6416667
227,0.8757062,0.08544458,0.26275572,0.030453453,2280.0,-0.063719995,1.0,2280.0,0.6666667
228,0.8756897,0.08544517,0.2627502,0.030453255,2290.0,-0.04667149,1.0,2290.0,0.65833336
229,0.87567025,0.08542179,0.2627457,0.030446693,2300.0,-0.1245003,0.9666667,2300.0,0.76666665
230,0.8756626,0.08542635,0.2627445,0.03044797,2310.0,-0.072661124,0.9916666,2310.0,0.7166667
231,0.8756998,0.085431896,0.2627547,0.030449292,2320.0,-0.08366618,1.0,2320.0,0.73333335
232,0.8756721,0.08543035,0.26274762,0.03044773,2330.0,-0.06605471,0.98333335,2330.0,0.7250001
233,0.8756788,0.08542741,0.26274896,0.030445362,2340.0,-0.06443316,1.0,2340.0,0.72499996
234,0.8756617,0.085431255,0.26274544,0.030446583,2350.0,-0.07285492,0.9916666,2350.0,0.7250001
235,0.8756942,0.085421264,0.26275414,0.030443108,2360.0,-0.056158602,0.9916666,2360.0,0.6666667
236,0.87569666,0.085425824,0.26275545,0.030444497,2370.0,-0.060059503,1.0,2370.0,0.825
237,0.8756822,0.08542133,0.26275167,0.030442497,2380.0,-0.04856792,1.0,2380.0,0.7083333
238,0.87567854,0.08543,0.26275063,0.030445075,2390.0,-0.059107456,1.0,2390.0,0.7083333
239,0.8756948,0.08543414,0.26275462,0.030445972,2400.0,-0.046211112,1.0,2400.0,0.7666667
240,0.87567496,0.08541807,0.2627482,0.03044168,2410.0,-0.08870816,0.97499996,2410.0,0.6666667
241,0.87571377,0.085408926,0.26275742,0.030438593,2420.0,-0.053869013,1.0,2420.0,0.80833334
242,0.87571126,0.0854127,0.26275665,0.030437687,2430.0,-0.050618123,1.0,2430.0,0.68333334
243,0.87574977,0.085415184,0.2627657,0.030436939,2440.0,-0.05566969,1.0,2440.0,0.7
244,0.87574005,0.085406326,0.26276287,0.030434376,2450.0,-0.06636067,1.0,2450.0,0.69166666
245,0.87574047,0.085398264,0.26276305,0.030431414,2460.0,-0.075110905,1.0,2460.0,0.7083333
246,0.87573624,0.085396595,0.262761,0.030429116,2470.0,-0.042388987,1.0,2470.0,0.70000005
247,0.8757382,0.0854012,0.26276153,0.03042986,2480.0,-0.09494165,0.98333335,2480.0,0.68333334
248,0.87574095,0.08540058,0.26276314,0.030430024,2490.0,-0.06039564,1.0,2490.0,0.7166667
249,0.87577724,0.08540463,0.26277208,0.030430594,2500.0,-0.05331097,1.0,2500.0,0.7
250,0.87576944,0.0854066,0.26277015,0.030431503,2510.0,-0.053472202,1.0,2510.0,0.65833336
251,0.87575847,0.08540511,0.26276657,0.03043061,2520.0,-0.056451708,1.0,2520.0,0.7749999
252,0.87575364,0.08540601,0.26276547,0.030428434,2530.0,-0.06132998,0.9916666,2530.0,0.75
253,0.8757224,0.08540461,0.26275754,0.030427223,2540.0,-0.0558618,1.0,2540.0,0.7083333
254,0.8757064,0.08539635,0.2627531,0.030425081,2550.0,-0.06828643,1.0,2550.0,0.7416666
255,0.8757151,0.08539006,0.26275468,0.030422932,2560.0,-0.05531125,1.0,2560.0,0.76666665
256,0.8757262,0.08538878,0.26275766,0.030422091,2570.0,-0.06652997,1.0,2570.0,0.75
